feature,gain_importance,split_importance,mean_gain_importance,mean_split_importance
temperature_f_window_12_std,634565.3526675701,2292,105760.89211126168,382.0
pressure_in_window_48_std,614253.9934258461,2367,102375.66557097435,394.5
humidity_pct_window_24_mean,606827.5810184479,2089,101137.93016974132,348.1666666666667
dew_point_f_window_6_mean,602849.7894859314,1415,100474.9649143219,235.83333333333334
dew_point_f_window_48_delta_from_mean,568485.893257618,1678,94747.64887626965,279.6666666666667
pressure_in_window_12_std,541381.892783165,2262,90230.31546386082,377.0
temperature_f_window_48_delta_from_mean,511259.4185705185,1920,85209.90309508641,320.0
humidity_pct_window_48_delta_from_mean,504394.8809940815,1971,84065.81349901359,328.5
cond_rain_t0,502110.40315437317,842,83685.06719239552,140.33333333333334
dew_point_f_window_3_max,501400.8623189926,537,83566.81038649876,89.5
humidity_pct_window_96_delta_from_mean,500733.1388511658,2297,83455.52314186096,382.8333333333333
humidity_pct_window_24_std,492325.2314710617,2393,82054.20524517696,398.8333333333333
wind_speed_mph_window_48_std,492256.59143066406,2497,82042.76523844402,416.1666666666667
temperature_f_window_6_std,488485.9522078037,1993,81414.32536796729,332.1666666666667
wind_speed_mph_window_96_delta_from_mean,473580.88008737564,2078,78930.14668122928,346.3333333333333
dew_point_f_window_96_mean,463175.2187271118,1734,77195.86978785197,289.0
temperature_f_window_48_std,443901.08898830414,2002,73983.51483138402,333.6666666666667
pressure_in_window_96_delta_from_mean,443577.29972982407,1963,73929.54995497067,327.1666666666667
humidity_pct_window_96_std,442015.9429192543,2082,73669.32381987572,347.0
humidity_pct_window_24_min,435721.321993351,1545,72620.22033222516,257.5
dew_point_f_window_6_delta_from_mean,425374.9050812721,1648,70895.81751354535,274.6666666666667
temperature_f_lag_24,424181.7584619522,1167,70696.9597436587,194.5
humidity_pct_window_12_delta_from_mean,420558.09592199326,1890,70093.01598699887,315.0
humidity_pct_window_48_std,411363.63140821457,1990,68560.60523470242,331.6666666666667
humidity_pct_window_6_mean,407456.7496933937,1215,67909.45828223228,202.5
wind_speed_mph_window_24_std,406849.9451932907,2163,67808.32419888179,360.5
wind_speed_mph_window_96_mean,405217.21847486496,1941,67536.20307914416,323.5
wind_speed_mph_window_12_std,404643.06358861923,1972,67440.51059810321,328.6666666666667
wind_speed_mph_window_96_std,403441.76218891144,2164,67240.2936981519,360.6666666666667
humidity_pct_window_12_mean,388913.76001930237,1442,64818.960003217064,240.33333333333334
humidity_pct_window_96_mean,383255.8426742554,1962,63875.973779042564,327.0
dew_point_f_window_96_delta_from_mean,380415.8179502487,1768,63402.63632504145,294.6666666666667
pressure_in_window_96_std,379800.858935833,2163,63300.14315597216,360.5
dew_point_f_window_12_delta_from_mean,374149.5008845329,1633,62358.25014742216,272.1666666666667
humidity_pct_window_12_std,361504.0280108452,1812,60250.67133514086,302.0
pressure_in_window_24_mean,349942.45573949814,1363,58323.74262324969,227.16666666666666
temperature_f_window_6_min,343491.47741508484,507,57248.57956918081,84.5
wind_speed_mph_window_48_mean,341018.29262685776,1695,56836.382104476295,282.5
wind_speed_mph_window_6_std,340136.8730597496,1708,56689.4788432916,284.6666666666667
dew_point_f_window_3_delta_from_mean,333945.0428147316,1336,55657.5071357886,222.66666666666666
cond_fog_t0,323684.14615154266,469,53947.357691923775,78.16666666666667
humidity_pct_window_6_delta_from_mean,323328.42370033264,1509,53888.07061672211,251.5
dew_point_f_window_96_std,318345.89650440216,1875,53057.64941740036,312.5
wind_speed_mph_t0,318141.40716171265,1192,53023.56786028544,198.66666666666666
pressure_in_lag_24,312676.66946840286,1114,52112.77824473381,185.66666666666666
temperature_f_window_96_std,310011.58901643753,1844,51668.59816940626,307.3333333333333
pressure_in_window_6_mean,302744.3570737839,1055,50457.392845630646,175.83333333333334
dew_point_f_window_12_std,300526.8851697445,1839,50087.81419495741,306.5
dew_point_f_window_12_mean,299076.0494527817,1045,49846.00824213028,174.16666666666666
wind_speed_mph_window_48_delta_from_mean,297633.71108675003,1658,49605.618514458336,276.3333333333333
pressure_in_lag_48,297269.74329423904,1581,49544.957215706505,263.5
dew_point_f_window_24_std,296779.8711051941,1743,49463.311850865684,290.5
humidity_pct_window_48_mean,292724.1536846161,1479,48787.35894743601,246.5
dew_point_f_window_48_std,290323.3303351402,1715,48387.22172252337,285.8333333333333
pressure_in_window_12_mean,287974.25176525116,1104,47995.70862754186,184.0
pressure_in_window_96_mean,285859.662214756,1545,47643.27703579267,257.5
temperature_f_window_24_min,280468.58745718,702,46744.76457619667,117.0
pressure_in_window_6_std,276215.9608516693,1542,46035.99347527822,257.0
pressure_in_lag_16,271187.06201696396,876,45197.843669493996,146.0
pressure_in_window_3_mean,267926.9619283676,740,44654.493654727936,123.33333333333333
humidity_pct_lag_4,267414.98169994354,546,44569.16361665726,91.0
pressure_in_window_24_min,266457.1445837021,663,44409.524097283684,110.5
humidity_pct_window_96_min,262429.05571222305,1298,43738.17595203718,216.33333333333334
dew_point_f_window_48_mean,261048.0333161354,1158,43508.00555268923,193.0
dew_point_f_window_24_mean,260252.15528202057,1042,43375.3592136701,173.66666666666666
pressure_in_window_48_mean,260238.99522304535,1324,43373.16587050756,220.66666666666666
humidity_pct_window_48_min,258214.7829194069,1065,43035.79715323448,177.5
dew_point_f_window_6_min,251987.09963226318,500,41997.84993871053,83.33333333333333
temperature_f_window_96_delta_from_mean,244632.53124380112,1624,40772.08854063352,270.6666666666667
wind_speed_mph_window_24_delta_from_mean,242859.78970575333,1644,40476.63161762556,274.0
minute_cos_t0,238403.74854183197,995,39733.95809030533,165.83333333333334
wind_speed_mph_window_12_delta_from_mean,237494.08479881287,1720,39582.34746646881,286.6666666666667
humidity_pct_window_3_mean,231376.43239545822,872,38562.73873257637,145.33333333333334
temperature_f_lag_72,227317.82640314102,1217,37886.304400523506,202.83333333333334
temperature_f_lag_96,226139.37782812119,1123,37689.89630468687,187.16666666666666
wind_speed_mph_window_6_min,220347.88110637665,675,36724.646851062775,112.5
humidity_pct_window_12_min,219770.18521022797,836,36628.36420170466,139.33333333333334
pressure_in_window_96_max,219500.28158426285,1007,36583.38026404381,167.83333333333334
temperature_f_window_96_min,219366.20973730087,862,36561.03495621681,143.66666666666666
humidity_pct_lag_12,218643.84778356552,1030,36440.64129726092,171.66666666666666
dew_point_f_window_96_max,217817.77971029282,767,36302.963285048805,127.83333333333333
pressure_in_window_12_min,217453.77268505096,529,36242.29544750849,88.16666666666667
wind_speed_mph_window_6_delta_from_mean,213303.83677625656,1671,35550.63946270943,278.5
pressure_in_window_12_max,211420.7050409317,755,35236.78417348862,125.83333333333333
wind_speed_mph_window_48_max,208550.2836098671,907,34758.380601644516,151.16666666666666
dew_point_f_window_6_std,207597.83007764816,1399,34599.638346274696,233.16666666666666
wind_speed_mph_window_12_min,206415.58197784424,752,34402.59699630737,125.33333333333333
pressure_in_window_96_min,200888.12507534027,1023,33481.35417922338,170.5
wind_speed_mph_window_24_max,200378.7321074009,842,33396.45535123348,140.33333333333334
pressure_in_window_6_min,198117.46592330933,466,33019.57765388489,77.66666666666667
pressure_in_lag_12,196809.46961021423,729,32801.57826836904,121.5
pressure_in_window_3_std,194304.22233581543,905,32384.03705596924,150.83333333333334
pressure_in_lag_96,190149.8021144867,1220,31691.633685747784,203.33333333333334
